,model,family,size,tokens,flops,ifeval,bbh,math,mmlu-pro,gpqa,musr
1857,llama-3-8b-instruct-gapo-v2-bert-f1-beta10-gamma0.3-lr1.0e-6-1minus-rerun,llama-3-instruct-gapo-v2-bert-f1-beta10-gamma0.3-lr1.0e-6-inus-rerun,8.0,15.0,720.0,0.6717221416951467,0.27755228582197067,0.04078549848942599,0.2926270685579196,0.059284116331096204,0.08709114583333337
1858,llama-3-8b-instruct-gapo-v2-bert_f1-beta10-gamma0.3-lr1.0e-6-scale-log,llama-3-instruct-gapo-v2-bert_f1-beta10-gamma0.3-lr1.0e-6-scale-log,8.0,15.0,720.0,0.6555605792630221,0.28613596677525616,0.03398791540785499,0.2953051122931442,0.0727069351230425,0.08167968750000001
1859,llama-3-8b-instruct-gapo-v2-bert_p-beta10-gamma0.3-lr1.0e-6-scale-log,llama-3-instruct-gapo-v2-bert_p-beta10-gamma0.3-lr1.0e-6-scale-log,8.0,15.0,720.0,0.6315055164740666,0.27666183558964236,0.05060422960725076,0.2901337174940898,0.04809843400447425,0.07087500000000001
1861,llama-3-8b-instruct-gapo-v2-rouge2-beta10-1minus-gamma0.3-rerun,llama-3-instruct-gapo-v2-rouge2-beta10-inus-gamma0.3-rerun,8.0,15.0,720.0,0.6677504576745258,0.28390676236054285,0.04758308157099698,0.2953051122931442,0.07494407158836691,0.08005208333333334
1862,llama-3-8b-instruct-gapo-v2-rouge2-beta10-gamma0.3-lr1.0e-6-scale-log,llama-3-instruct-gapo-v2-rouge2-beta10-gamma0.3-lr1.0e-6-scale-log,8.0,15.0,720.0,0.6605063453857986,0.2807503551511944,0.0445619335347432,0.29604388297872336,0.07158836689038028,0.07805208333333337
1863,llama-3-8b-instruct-gapo-v2-rougel-beta10-gamma0.3-lr1.0e-6-scale-log,llama-3-instruct-gapo-v2-rougel-beta10-gamma0.3-lr1.0e-6-scale-log,8.0,15.0,720.0,0.6491908137076291,0.2856256683836558,0.045317220543806644,0.3012152777777778,0.06935123042505593,0.07383593750000003
2069,l3-pneuma-8b,l3-pneuma,8.0,15.0,720.0,0.2374056392593873,0.2882020171626968,0.05211480362537764,0.2426677009456265,0.07606263982102905,0.10211197916666669
2180,leniachat-gemma-2b-v0,leniachat-gemma-v0,2.0,6.0,72.0,0.21497404664069117,0.04138296963728068,0.003021148036253777,0.01891252955082742,0.021252796420581685,0.0363828125
2181,leniachat-qwen2-1.5b-v0,leniachat-qwen2-v0,1.5,7.0,63.0,0.22211842356059697,0.12771666354808303,0.010574018126888216,0.0977763002364066,0.015659955257270708,0.03873697916666666
2386,llama-3-8b-magpie-align-sft-v0.1,llama-3-magpie-align-sft-v0.1,8.0,15.0,720.0,0.4361416596851908,0.23990124398411342,0.05589123867069487,0.20702201536643025,0.016778523489932917,0.0
2387,llama-3-8b-magpie-align-sft-v0.3,llama-3-magpie-align-sft-v0.3,8.0,15.0,720.0,0.5063586838477463,0.23698815892387587,0.06948640483383685,0.211362293144208,0.021252796420581685,0.003968749999999998
2388,llama-3-8b-magpie-align-v0.1,llama-3-magpie-align-v0.1,8.0,15.0,720.0,0.4118117705465941,0.2669176089392447,0.033987915407854986,0.22290558510638298,0.03355704697986576,0.01920572916666666
2389,llama-3-8b-magpie-align-v0.3,llama-3-magpie-align-v0.3,8.0,15.0,720.0,0.4497056698449004,0.24311446807587017,0.027190332326283987,0.23712692080378248,0.020134228187919476,0.03742187500000001
2436,llama-3-70b-instruct-v0.1,llama-3-instruct-v0.1,70.0,15.0,6300.0,0.47143800671108216,0.3271291726367119,0.16389728096676742,0.40196513002364065,0.045861297539149914,0.1531276041666667
2442,llama-3-8b-instruct-v0.10,llama-3-instruct-v0.10,8.0,15.0,720.0,0.7667433520835827,0.2792467430212089,0.05513595166163144,0.3180223108747045,0.07829977628635347,0.10813020833333332
2448,llama-3-8b-instruct-v0.8,llama-3-instruct-v0.8,8.0,15.0,720.0,0.7527549125209998,0.28270418759783483,0.07854984894259819,0.31700650118203305,0.0738255033557047,0.10924739583333334
2449,llama-3-8b-instruct-v0.9,llama-3-instruct-v0.9,8.0,15.0,720.0,0.763046494412603,0.27903013285410183,0.0755287009063444,0.3161753841607564,0.07718120805369126,0.09850260416666666
2463,qwen2-7b-instruct-v0.1,qwen2-instruct-v0.1,7.0,7.0,294.0,0.3352249808286457,0.3192360727430821,0.2212990936555891,0.3174682328605201,0.04697986577181204,0.13868229166666668
2464,qwen2-7b-instruct-v0.8,qwen2-instruct-v0.8,7.0,7.0,294.0,0.2774726614272353,0.2553252452836147,0.17447129909365558,0.2851470153664303,0.058165548098433995,0.120640625
2483,calme-2.1-qwen2-72b,calme-2.1-qwen2,72.0,7.0,3024.0,0.8162774770941102,0.573258823447103,0.3806646525679758,0.49052526595744683,0.17449664429530198,0.2015234375
2484,calme-2.1-qwen2-7b,calme-2.1-qwen2,7.0,7.0,294.0,0.3816119008674761,0.31007097447020127,0.22885196374622357,0.29918365839243505,0.05257270693512303,0.13795572916666665
