,model,family,size,tokens,flops,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k
102,pythia-1.4b,pythia,1.4,0.3,2.52,0.3267918088737201,0.5495917147978491,0.2555549665134659,0.3865846445222244,0.5730071033938438,0.0083396512509476
103,pythia-12b,pythia,12.0,0.25,18.0,0.3959,0.6881999999999999,0.2676,0.3185,0.6417,0.0174
104,pythia-160m,pythia,0.16,0.25,0.24,0.2278,0.3034,0.2495,0.4426,0.5154,0.0023
105,pythia-1b,pythia,1.0,0.3,1.7999999999999998,0.2909556313993174,0.4965146385182235,0.2427106456015119,0.389393782096148,0.5359116022099447,0.0113722517058377
106,pythia-2.8b,pythia,2.8,0.25,4.199999999999999,0.3626279863481229,0.6065524795857399,0.2678463743419206,0.3555978234501585,0.6022099447513812,0.0083396512509476
107,pythia-410m,pythia,0.41,0.25,0.615,0.2619,0.4085,0.2725,0.4122,0.5312,0.0068
108,pythia-6.9b,pythia,6.9,0.25,10.35,0.4129692832764505,0.6704839673371839,0.2648094407333687,0.3519458488266109,0.6408839779005525,0.0166793025018953
109,pythia-70m,pythia,0.07,0.3,0.126,0.2107508532423208,0.2716590320653256,0.2526050703920223,0.4751438547560591,0.4964483030781373,0.0
110,qwen-14b,qwen,14.0,3.0,252.0,0.5827645051194539,0.8398725353515236,0.6770428032333679,0.4943294460887689,0.7679558011049724,0.5898407884761183
111,qwen-72b,qwen,72.0,3.0,1296.0,0.6518771331058021,0.8593905596494722,0.7737375749942506,0.6019109516805667,0.824782951854775,0.7043214556482184
112,qwen-7b,qwen,7.0,2.4,100.8,0.5136518771331058,0.7847042421828321,0.5983879208119841,0.4778593054989757,0.7269139700078927,0.4495830174374526
113,qwen1.5-0.5b,qwen1.5,0.5,2.4,7.199999999999999,0.3148464163822526,0.4905397331208923,0.3935334081217579,0.3829926844374736,0.5722178374112076,0.1630022744503411
114,qwen1.5-0.5b-chat,qwen1.5-chat,0.5,2.4,7.199999999999999,0.3055,0.4407,0.3382,0.4295,0.5462,0.0766
115,qwen1.5-1.8b,qwen1.5,1.8,2.4,25.92,0.378839590443686,0.6142202748456482,0.4670838530175782,0.3942781424608406,0.6029992107340174,0.335860500379075
116,qwen1.5-1.8b-chat,qwen1.5-chat,1.8,2.4,25.92,0.3874,0.6002000000000001,0.4587,0.4061999999999999,0.5967,0.1903
119,qwen1.5-14b,qwen1.5,14.0,4.0,336.0,0.5656996587030717,0.810794662417845,0.6936026470831474,0.5206092394796343,0.7348066298342542,0.6762699014404853
120,qwen1.5-14b-chat,qwen1.5-chat,14.0,4.0,336.0,0.5870000000000001,0.8227,0.6857,0.6036,0.7309,0.3063
121,qwen1.5-32b,qwen1.5,32.0,4.0,768.0,0.6356655290102389,0.8500298745269866,0.7429961283965313,0.5739444338569583,0.8145224940805051,0.6110689916603488
122,qwen1.5-32b-chat,qwen1.5-chat,32.0,4.0,768.0,0.6604000000000001,0.8549,0.7498999999999999,0.6695,0.7719,0.0705
123,qwen1.5-4b,qwen1.5,4.0,2.4,57.6,0.4846416382252559,0.7157936666002789,0.5652351963993337,0.4727318979180884,0.6621941594317285,0.5223654283548143
124,qwen1.5-4b-chat,qwen1.5-chat,4.0,2.4,57.6,0.4326,0.6973,0.5555,0.4478999999999999,0.6496,0.0243
