,model,base_model,family,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k,ifeval,bbh,math,mmlu-pro,gpqa,musr
5482,zephyr-7b-dpo-qlora-no-sft,,zephyr-dpo-qlora-no-sft,0.6245733788395904,0.8449512049392551,0.6401969796390715,0.44247071835148866,0.7916337805840569,0.4162244124336619,,,,,,
5483,zephyr-7b-sft-qlora,,zephyr-sft-qlora,0.5972696245733788,0.8249352718581956,0.6189734515475573,0.42322051298951135,0.7821625887924231,0.3411675511751327,,,,,,
5484,zephyr-tiny-dpo-qlora,,zephyr-tiny-dpo-qlora,0.3660409556313994,0.6166102370045807,0.2578009867799898,0.3639815282143516,0.6156274664561957,0.02122820318423048,,,,,,
5485,zephyr-tiny-sft-qlora-quantized-2,,zephyr-tiny-sft-qlora-quantized-2,0.3319112627986348,0.585839474208325,0.2521361447781326,0.3582401236161178,0.5880031570639306,0.01592115238817286,,,,,,
5486,fusionnet_7bx2_moe_ko_dpo_adapter_attach,,fusionnet_x2_moe_ko_dpo_adapter_attach,0.7389078498293515,0.8893646683927504,0.6503000409882863,0.7124230121816637,0.8760852407261247,0.6982562547384383,,,,,,
5487,merge_sakura_solar,,merge_sakura_solar,0.7073378839590444,0.8850826528579964,0.6602770937110387,0.7220886501406486,0.8271507498026835,0.6398786959818044,,,,,,
5488,open_ko_solar_dpo_merge_v0.1,,open_ko_solar_dpo_merge_v0.1,0.5511945392491467,0.7818163712407887,0.5418987279077232,0.40172042861684365,0.7569060773480661,0.29112964366944655,,,,,,
5489,solar-instruct-ko-adapter-attach,,solar-instruct-ko-adapter-attach,0.7107508532423208,0.8819956184027086,0.6609023353680574,0.7150654372668831,0.8350434096290449,0.6429112964366943,,,,,,
5490,solar_merge_adapter_dpo_orca,,solar_merge_adapter_dpo_orca,0.6390784982935154,0.8458474407488548,0.6317676329761588,0.51488245253393,0.8200473559589583,0.5056861258529188,,,,,,
5491,dolly-v2-3b,,dolly-v2,0.3967576791808874,0.650368452499502,0.25094761638528906,0.3380010409129166,0.5911602209944752,0.02047005307050796,,,,,,
5492,m_b_4_32,,m_b_4_32,0.5955631399317406,0.8303126867157935,0.6090000325604996,0.49292951899887216,0.7655880031570639,0.3078089461713419,,,,,,
5493,m_b_8_32,,m_b_8_32,0.5989761092150171,0.8279227245568612,0.6079051456920121,0.5055079034663126,0.7608524072612471,0.29946929492039426,,,,,,
5494,merge_dolly-v2-3b_dpo_test,,merge_dolly-v2-_dpo_test,0.40017064846416384,0.651364270065724,0.2498892537757233,0.3330074271769468,0.5935280189423836,0.02122820318423048,,,,,,
5495,mistral_dmbr03_32_sig,,mistral_dmbr03_32_sig,0.5998293515358362,0.8322047400916152,0.6121566710528419,0.47897854733681716,0.7805840568271507,0.35329795299469297,,,,,,
5496,mistral_dmbr05_32_sig,,mistral_dmbr05_32_sig,0.5989761092150171,0.8328022306313483,0.6085576928269782,0.49685866783795984,0.7719021310181531,0.3419257012888552,,,,,,
5497,mistral_dmbr10_32_sig,,mistral_dmbr10_32_sig,0.5861774744027304,0.8257319259111731,0.6134976042541596,0.44335454039876326,0.7790055248618785,0.37831690674753593,,,,,,
5498,mistral_dmbr20_32_sig,,mistral_dmbr20_32_sig,0.5870307167235495,0.8254331806413066,0.6141365790912375,0.4474891313727967,0.775848460931334,0.37604245640636846,,,,,,
5499,mistral_kmmbr_32_sig,,mistral_kmmbr_32_sig,0.5895904436860068,0.8284206333399721,0.6138603368792488,0.46201267440504196,0.7774269928966061,0.3752843062926459,,,,,,
5500,mistral_mbr_32_sig,,mistral_mbr_32_sig,0.5964163822525598,0.8310097590121489,0.614317972035289,0.4631232828050976,0.7813733228097868,0.36087945413191813,,,,,,
5501,mistral_nucleus09_32_sig,,mistral_nucleus09_32_sig,0.5972696245733788,0.8314080860386377,0.6142468068679383,0.46365989518924117,0.7805840568271507,0.36846095526914335,,,,,,
5502,adrastea-7b-v1.0-dpo,,adrastea-v1.0-dpo,0.6331058020477816,0.823043218482374,0.6225510313868262,0.5309666820618778,0.7655880031570639,0.620166793025019,,,,,,
5503,antares-11b-v1,,antares-v1,0.6450511945392492,0.8485361481776539,0.6596351093064915,0.5283649819747338,0.8295185477505921,0.5830174374526156,,,,,,
5504,antares-11b-v2,,antares-v2,0.6902730375426621,0.8754232224656442,0.6619405432758583,0.5916593502712777,0.8318863456985004,0.6050037907505686,,,,,,
5505,dionysus-mistral-m3-v5,,dionysus-mistral-m3-v5,0.5955631399317406,0.8098984266082454,0.611843338115107,0.5093204017955075,0.7513812154696133,0.510235026535254,,,,,,
5506,dionysus-mistral-m3-v6,,dionysus-mistral-m3-v6,0.6313993174061433,0.8450507866958773,0.6282077837404287,0.494910725861387,0.7845303867403315,0.6421531463229719,,,,,,
5507,dionysus-mistral-n1-v1,,dionysus-mistral-n1-v1,0.6023890784982935,0.8159729137621987,0.5932248867133307,0.47940496578544967,0.7134964483030781,0.10614101592115238,,,,,,
5508,starling-7b,,starling,0.5102389078498294,0.7676757618004382,0.47753201358869846,0.4817697697777851,0.7056037884767167,0.10083396512509477,,,,,,
5509,kellemar-dpo-7b,,kellemar-dpo,0.6621160409556314,0.8525194184425413,0.6337575371174123,0.5552976830841718,0.7837411207576953,0.6065200909780136,,,,,,
5510,kellemar-dpo-7b-c,,kellemar-dpo-c,0.6569965870307167,0.8498307110137424,0.6369501508190897,0.5407842160887599,0.7829518547750592,0.5822592873388931,,,,,,
5511,kellemar-dpo-7b-d,,kellemar-dpo-d,0.6689419795221841,0.8516231826329417,0.6276845351344322,0.5687577354154723,0.7932123125493291,0.620166793025019,,,,,,
5512,kellemar-dpo-7b-v1.01,,kellemar-dpo-v1.01,0.6578498293515358,0.8504282015534754,0.6324097267991128,0.5554335409983038,0.7868981846882399,0.6163760424564063,,,,,,
5513,kellemar-dpo-orca-distilled-7b-slerp,,kellemar-dpo-orca-distilled-slerp,0.7047781569965871,0.8756223859788886,0.6532810506616906,0.6497116450794355,0.819258089976322,0.7202426080363913,,,,,,
5514,llama-2-7b-miniguanaco,,llama-2-miniguanaco,0.5,0.7695678151762597,0.48054984409621393,0.4284020805313953,0.7348066298342542,0.19105382865807427,,,,,,
5515,lil-c3po,,lil-c3po,0.6501706484641638,0.8444532961561442,0.6235799754281676,0.6873119394140665,0.7916337805840569,0.4844579226686884,,,,,,
5516,codeup-llama-2-13b-chat,,codeup-llama-2-chat,0.590443686006826,0.8192591117307308,0.5462619093404184,0.44118181192718914,0.745067087608524,0.15238817285822592,,,,,,
5517,deepseek-coder-1.3b-instruct,,deepseek-coder-instruct,0.2858361774744027,0.398725353515236,0.28474897561185825,0.44015243507625756,0.5240726124704025,0.01061410159211524,,,,,,
5518,deepseek-coder-6.7b-base,,deepseek-coder-base,0.3703071672354949,0.5345548695478988,0.38391430977019814,0.402813120561078,0.5808997632202052,0.17968157695223655,,,,,,
5519,deepseek-coder-6.7b-instruct,,deepseek-coder-instruct,0.38139931740614336,0.5508862776339375,0.3901940819617861,0.455556353489654,0.5682715074980268,0.2676269901440485,,,,,,
5520,deepseek-coder-7b-instruct-v1.5,,deepseek-coder-instruct-v1.5,0.4854948805460751,0.7234614618601873,0.5045423133655634,0.4673350397051116,0.6685082872928176,0.20394238059135708,,,,,,
5521,deepseek-llm-67b-base,,deepseek-llm-base,0.6544368600682594,0.8710416251742682,0.7177932742096433,0.5108013665291756,0.8413575374901342,0.5670962850644428,,,,,,
5522,deepseek-llm-67b-chat,deepseek-llm-67b-chat,deepseek-llm-chat,0.6774744027303754,0.8679545907189802,0.7218744401223967,0.5583209009287327,0.8421468034727704,0.623199393479909,0.5587153197959193,0.3322524192534525,0.07401812688821753,0.3270722517730496,0.0883668903803132,0.2393307291666666
5523,deepseek-llm-7b-base,deepseek-llm-7b-base,deepseek-llm-base,,,,,,,0.21787191319033497,0.0976792479590425,0.014350453172205437,0.08955747635933804,0.031319910514541416,0.03755989583333332
5524,deepseek-llm-7b-chat,deepseek-llm-7b-chat,deepseek-llm-chat,0.5571672354948806,0.793766182035451,0.5177213745416527,0.4792174555058033,0.7490134175217048,0.45943896891584535,0.41708223070342243,0.11258949371501747,0.01812688821752266,0.12594193262411346,0.021252796420581685,0.1921302083333333
5525,deepseek-math-7b-base,,deepseek-math-base,0.5221843003412969,0.6948814977096195,0.5724991199673186,0.4071269130958089,0.6677190213101816,0.5921152388172858,,,,,,
5526,deepseek-math-7b-instruct,,deepseek-math-instruct,0.5341296928327645,0.7149970125473013,0.5596815999490761,0.40156731347428204,0.6574585635359117,0.19408642911296436,,,,,,
5527,deepseek-math-7b-rl,,deepseek-math-rl,0.5546075085324232,0.724457279426409,0.5681034086787751,0.4036948798131458,0.6677190213101816,0.053828658074298714,,,,,,
5528,deepseek-moe-16b-base,deepseek-moe-16b-base,deepseek-moe-base,0.5324232081911263,0.7977494523003386,0.46306113561052753,0.3607930335233561,0.7371744277821626,0.1728582259287339,0.2449744455821664,0.08355555779389383,0.01963746223564955,0.05612810283687943,0.0055928411633109736,0.033559895833333346
5529,deepseek-moe-16b-chat,deepseek-moe-16b-chat,deepseek-moe-chat,,,,,,,0.36629919724109805,0.06573749026890635,0.0188821752265861,0.10710328014184398,0.0,0.05261718750000001
5530,sqlcoder-34b-alpha,,sqlcoder-alpha,0.5418088737201365,0.7593108942441744,0.5441739890355642,0.4063362849207234,0.7348066298342542,0.34874905231235787,,,,,,
5531,neuralhermes-2.5-mistral-7b,,neuralhermes-2.5-mistral,0.6655290102389079,0.8500298745269866,0.6340643454431125,0.5383196217878969,0.7797947908445146,0.34040940106141016,,,,,,
5532,llama-pile-350b,,llama-pile,0.3319112627986348,0.5660227046405099,0.24655847903732314,0.3627997175709852,0.584846093133386,0.0075815011372251705,,,,,,
