,model,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k
271,AtAndDev/ShortKingv0.1,0.34215017064846415,0.5459071898028282,0.25779938852017725,0.41640643343088124,0.5603788476716653,0.004548900682335102
272,AurelPx/Dare-k-7B-ties,0.6911262798634812,0.8708424616610237,0.6501604743912057,0.639077073664674,0.8200473559589583,0.7156937073540561
273,AurelPx/Meliodas-7b-dare,0.7286689419795223,0.8910575582553277,0.6443271358185106,0.7802123312690321,0.8476716653512234,0.709628506444276
274,AurelPx/NeuralPipe-7B-slerp,0.6774744027303754,0.8616809400517824,0.6404849302037182,0.5985018412437423,0.8018942383583267,0.6853677028051554
275,AurelPx/Pegasus-7b-slerp,0.726962457337884,0.8904600677155945,0.6447043748345466,0.7712800289093448,0.8500394632991317,0.7012888551933283
276,AurelPx/Percival_01-7b-slerp,0.7320819112627988,0.8915554670384386,0.6441795622610244,0.7796786803623033,0.850828729281768,0.7088703563305533
277,Austism/chronos-hermes-13b-v2,0.6032423208191127,0.832105158334993,0.550516143961869,0.5091460399554737,0.7537490134175217,0.11751326762699014
278,AwanLLM/Awanllm-Llama-3-8B-Cumulus-v0.2,0.5511945392491467,0.7756423023302133,0.6321147897547575,0.5364649741932901,0.7647987371744278,0.6095526914329037
279,AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3,0.5989761092150171,0.8010356502688707,0.657464367454625,0.5305144478967025,0.7608524072612471,0.5633055344958302
280,AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.3-DPO,0.5648464163822525,0.7543318064130651,0.490483054702764,0.5726925962183574,0.7008681925808997,0.15466262319939347
281,AwanLLM/Awanllm-Llama-3-8B-Dolfin-v0.6-Abliterated,0.6015358361774744,0.8073093009360686,0.6683133723594592,0.5034024007967884,0.7774269928966061,0.5670962850644428
282,AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.1,0.6168941979522184,0.7896833300139414,0.6635816403955728,0.5280342879641073,0.7561168113654301,0.6504927975739195
283,AwanLLM/Awanllm-Llama-3-8B-Instruct-DPO-v0.2,0.5742320819112628,0.7720573590918144,0.5230884532826675,0.5840138438896096,0.7742699289660616,0.25928733889310085
284,AwanLLM/Awanllm-Llama-3-8B-Instruct-ORPO-v0.1,0.6100682593856656,0.7909778928500298,0.6643026897091545,0.5129454473309828,0.7576953433307024,0.6459438968915845
285,AwanLLM/Llama-3-8B-Cumulus-v0.1,0.5503412969283277,0.775542720573591,0.6258880170377576,0.5098177509725512,0.7640094711917916,0.6080363912054587
286,AwanLLM/Llama-3-8B-Dolfin-v0.2-Instruct,0.6186006825938567,0.7786297550288787,0.6636676267580189,0.5131837549240508,0.7474348855564326,0.5693707354056103
287,AwanLLM/Meta-Llama-3-8B-Instruct-Dolfin-v0.1,0.6151877133105802,0.7924716191993627,0.6568721178607784,0.517644117221786,0.755327545382794,0.621683093252464
288,Azazelle/Argetsu,0.6706484641638225,0.8631746664011153,0.6554731950691836,0.5645591684488664,0.7916337805840569,0.6330553449583017
